,produto,Vendedor,PrecoR$,Preço,Data
0,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Amazon,"R$ 7.899,00",7899.0,2022-11-09
1,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Casas Bahia,"R$ 9.604,52",9604.52,2022-11-09
2,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,KaBuM!,"R$ 10.499,00",10499.0,2022-11-09
3,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Carrefour,"R$ 7.899,00",7899.0,2022-11-09
4,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Ponto,"R$ 9.604,52",9604.52,2022-11-09
5,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Mercado Livre,"R$ 7.900,00",7900.0,2022-11-09
6,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Americanas,"R$ 8.351,76",8351.76,2022-11-09
7,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Extra,"R$ 9.604,52",9604.52,2022-11-09
8,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Shoptime,"R$ 10.485,47",10485.47,2022-11-09
9,Smartphone Apple iPhone 13 Pro Max 128GB Câmera Tripla,Submarino,"R$ 8.351,76",8351.76,2022-11-09
